Ensembl_ID	Gene_symbol	contrast	type	dir	n_datasets	datasets	mean_log2FC	max_padj
ENSG00000184545	DUSP8	F3_vs_F0	baseline	up	2	GSE130970,GSE135251	1.2836127844450453	0.021963170386424046
ENSG00000184545	DUSP8	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	2.5847617928061872	8.431254853227856e-5
ENSG00000184564	SLITRK6	F3_vs_F0	baseline	down	2	GSE130970,GSE135251	-0.647478324118857	0.04407264603099866
ENSG00000184564	SLITRK6	F4_vs_F0	baseline	down	2	GSE135251,GSE162694	-1.1315586613085016	0.006656301394451562
ENSG00000184564	SLITRK6	F4_vs_F1	between_strata	down	2	GSE135251,GSE162694	-1.078191138207191	0.013763145365435266
ENSG00000184584	STING1	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	0.7705005606661859	2.2431780902656745e-4
ENSG00000184584	STING1	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	0.8418549404734321	3.0613167535798195e-4
ENSG00000184611	KCNH7	F4_vs_F0	baseline	down	2	GSE135251,GSE162694	-1.1376954618625728	0.023062143789053226
ENSG00000184611	KCNH7	F4_vs_F1	between_strata	down	2	GSE135251,GSE162694	-1.105025134845179	0.03972387334627679
ENSG00000184613	NELL2	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	1.0704024230775646	0.023901472844458017
ENSG00000184785	SMIM10	F4_vs_F0	baseline	up	3	GSE130970,GSE135251,GSE162694	1.0819227004436311	0.044262618363489104
ENSG00000184838	PRR16	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	1.8630694651190929	7.756223265812619e-5
ENSG00000184838	PRR16	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	1.8335004592782536	1.0204292847042425e-4
ENSG00000184838	PRR16	F4_vs_F2	between_strata	up	2	GSE135251,GSE162694	1.9747899726997926	4.090616345962442e-4
ENSG00000184845	DRD1	F4_vs_F0	baseline	down	2	GSE130970,GSE162694	-1.8850459190069067	0.010515304953055587
ENSG00000184845	DRD1	F4_vs_F1	between_strata	down	2	GSE130970,GSE162694	-1.7666021113318289	0.038978228495047174
