Ensembl_ID	Gene_symbol	n_ds_tested	n_ds_lrt_sig	min_padj_lrt	lrt_reproduced	n_baseline_sig	baseline_dirs	first_stage_diff	baseline_hits	n_strata_sig	strata_dirs	strata_hits	class
ENSG00000115592	PRKAG3	2	1	2.595873464767474e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000129657	SEC14L1	3	1	2.598374311264819e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000092964	DPYSL2	3	2	2.609260740830917e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000164691	TAGAP	3	1	2.609260740830917e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000182993	C12orf60	3	2	2.609260740830917e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000110651	CD81	3	2	2.6151139781261572e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000166313	APBB1	3	2	2.6275915913878668e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000119729	RHOQ	3	2	2.645008835968551e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000163975	MELTF	3	1	2.645008835968551e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000186184	POLR1D	3	1	2.6468347651933254e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000160856	FCRL3	3	1	2.6570961952105792e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000184949	FAM227A	3	1	2.6641287986246627e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000011258	MBTD1	3	1	2.666495600182418e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000092607	TBX15	3	2	2.6873481663998022e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000221886	FAM200C	3	1	2.6873481663998022e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000203734	ECT2L	2	1	2.694314478753485e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000112651	MRPL2	3	1	2.7053102959705916e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000139445	FOXN4	3	2	2.713414374879779e-5	TRUE	1	up	2	F2_vs_F0	0	NA	NA	baseline_only
ENSG00000159176	CSRP1	3	1	2.7182249962961088e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000086205	FOLH1	3	2	2.7317564381011716e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000105270	CLIP3	3	1	2.7414314073558717e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000142166	IFNAR1	3	2	2.757754100163751e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000181915	ADO	3	2	2.7737087617404304e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000090530	P3H2	3	1	2.7853777871722363e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000123124	WWP1	3	1	2.788501887569176e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000106302	HYAL4	2	1	2.7920217908371967e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000118322	ATP10B	3	1	2.792882891565356e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000127951	FGL2	3	2	2.792882891565356e-5	TRUE	1	up	4	F4_vs_F0	0	NA	NA	baseline_only
ENSG00000143365	RORC	3	3	2.792882891565356e-5	TRUE	1	down	4	F4_vs_F0	0	NA	NA	baseline_only
ENSG00000086475	SEPHS1	3	1	2.7930080348390896e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000167523	SPATA33	3	1	2.795777483973094e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000175893	ZDHHC21	3	1	2.802927476298957e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000164707	SLC13A4	3	1	2.8193759279781463e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000149124	GLYAT	3	2	2.8275215480473264e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000204397	CARD16	3	3	2.8275215480473264e-5	TRUE	1	up	4	F4_vs_F0	0	NA	NA	baseline_only
ENSG00000138031	ADCY3	3	1	2.8322201417645614e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000143420	ENSA	3	1	2.8421421355922512e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000111752	PHC1	3	1	2.845752365187792e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000117984	CTSD	3	1	2.8527403922050673e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000159588	CCDC17	3	1	2.8626299982422414e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000173166	RAPH1	3	1	2.863964879753455e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000165185	KIAA1958	3	1	2.8787156384894472e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000239697	TNFSF12	3	2	2.8902535344642482e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000166913	YWHAB	3	2	2.890577400577258e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000134183	GNAT2	3	1	2.909759914559355e-5	FALSE	0	NA	NA	NA	2	down	F4_vs_F1,F4_vs_F2	strata_only
ENSG00000132334	PTPRE	3	1	2.910452199430666e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000176208	ATAD5	3	1	2.9165587779150706e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000106927	AMBP	3	2	2.918249683071728e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000106078	COBL	3	2	2.9218049119870376e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000172260	NEGR1	3	1	2.923131010780227e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000073605	GSDMB	3	1	2.934399203542608e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000196428	TSC22D2	3	1	2.9710621980163735e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000075407	ZNF37A	3	2	2.9730741345026923e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000119977	TCTN3	3	2	2.9915657817640638e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000213967	ZNF726	3	1	3.0026213418130153e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000103044	HAS3	3	1	3.004069239264934e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000113212	PCDHB7	3	1	3.0070883746208163e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000137872	SEMA6D	3	1	3.035553058825657e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000145425	RPS3A	3	1	3.039394735016681e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000112146	FBXO9	3	1	3.042561235776661e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000196876	SCN8A	3	1	3.0463931565755328e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000133800	LYVE1	3	1	3.0468822175735276e-5	FALSE	1	down	3	F3_vs_F0	0	NA	NA	baseline_only
ENSG00000179862	CITED4	3	2	3.05423701244402e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000110448	CD5	3	2	3.0605800717932086e-5	TRUE	1	up	4	F4_vs_F0	0	NA	NA	baseline_only
ENSG00000182934	SRPRA	3	1	3.069138395318054e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000157693	TMEM268	3	2	3.127390626190962e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000167549	CORO6	3	1	3.127905811719949e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000135932	CAB39	3	1	3.128757570526423e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000114019	AMOTL2	3	2	3.1300693181115164e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000213398	LCAT	3	2	3.136055827169162e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000198331	HYLS1	3	1	3.1457984053019396e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000079156	OSBPL6	3	2	3.1515614146538453e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000140398	NEIL1	3	2	3.173166726778419e-5	TRUE	1	down	4	F4_vs_F0	0	NA	NA	baseline_only
ENSG00000138002	IFT172	3	1	3.183431776738276e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000114757	PEX5L	2	2	3.1839633187426405e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000115415	STAT1	3	2	3.1895391338530624e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000100242	SUN2	3	3	3.1948650816486755e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000125046	SSUH2	3	1	3.2029283740929455e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000183833	CFAP91	3	2	3.20643000857475e-5	TRUE	0	NA	NA	NA	1	up	F4_vs_F1	strata_only
ENSG00000124688	MAD2L1BP	3	2	3.22342220209773e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000242028	HYPK	3	2	3.228124534491367e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000183172	SMDT1	3	3	3.2288364097706954e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000162390	ACOT11	3	2	3.242213937854746e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000004534	RBM6	3	2	3.2451341967077666e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000134755	DSC2	3	1	3.2527462058808616e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000134352	IL6ST	3	1	3.2550302064752184e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000139946	PELI2	3	2	3.280169313639131e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000161911	TREML1	3	2	3.3039111199063724e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000143153	ATP1B1	3	2	3.319021289611379e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000121807	CCR2	3	2	3.325738698553771e-5	TRUE	1	up	3	F3_vs_F0	0	NA	NA	baseline_only
ENSG00000140859	KIFC3	3	1	3.341372747155431e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000151338	MIPOL1	3	1	3.341372747155431e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000087088	BAX	3	3	3.3465244459986216e-5	TRUE	1	up	4	F4_vs_F0	0	NA	NA	baseline_only
ENSG00000107104	KANK1	3	2	3.43580889913506e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000070759	TESK2	3	1	3.4394641840907635e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000104365	IKBKB	3	1	3.445228149778414e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000166340	TPP1	3	2	3.4479315487815424e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000168994	PXDC1	3	1	3.4479315487815424e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000244617	ASPRV1	3	1	3.4479315487815424e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000124702	KLHDC3	3	2	3.44941365049856e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000122779	TRIM24	3	1	3.458560598646713e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000186834	HEXIM1	3	2	3.458560598646713e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000165556	CDX2	2	1	3.465916376785477e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000117425	PTCH2	3	1	3.506278359195968e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000129197	RPAIN	3	2	3.5083847836878614e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000165246	NLGN4Y	3	1	3.517160139703919e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000107159	CA9	3	1	3.548799141807049e-5	FALSE	0	NA	NA	NA	1	up	F4_vs_F1	strata_only
ENSG00000143858	SYT2	2	1	3.565365720113002e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000166689	PLEKHA7	3	1	3.577438019159935e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000185651	UBE2L3	3	2	3.611284873118969e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000160712	IL6R	3	3	3.6122384322534643e-5	TRUE	1	down	4	F4_vs_F0	0	NA	NA	baseline_only
ENSG00000161551	ZNF577	3	1	3.619184532781621e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000168795	ZBTB5	3	1	3.626921543900621e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000124615	MOCS1	3	2	3.6372360378380434e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000168040	FADD	3	1	3.674993096877742e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000100413	POLR3H	3	2	3.688922370926316e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000168621	GDNF	3	1	3.688922370926316e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000112812	PRSS16	3	1	3.699280271871542e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000168078	PBK	3	1	3.70783069259347e-5	FALSE	1	up	3	F3_vs_F0	0	NA	NA	baseline_only
ENSG00000237353	PATE4	2	2	3.72165017195263e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000166473	PKD1L2	3	1	3.721864917471359e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000161921	CXCL16	3	2	3.7503920188547454e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000221944	TIGD1	3	1	3.761237921004009e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000169598	DFFB	3	1	3.7618947490327554e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000049089	COL9A2	3	1	3.7629909752758975e-5	FALSE	0	NA	NA	NA	1	up	F4_vs_F1	strata_only
ENSG00000110218	PANX1	3	1	3.763274173579499e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000173559	NABP1	3	2	3.763274173579499e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000145936	KCNMB1	3	1	3.766209777883024e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000155729	KCTD18	3	2	3.7678192190332165e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000114650	SCAP	3	1	3.7842922496004926e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000159433	STARD9	3	1	3.790230684051999e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000189077	TMEM120A	3	2	3.7925360380011566e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000172296	SPTLC3	3	1	3.804247279483728e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000117601	SERPINC1	3	2	3.816059047705249e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000168785	TSPAN5	3	1	3.816059047705249e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000166448	TMEM130	3	1	3.825188496591128e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000070756	PABPC1	3	1	3.846394564593616e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000139874	SSTR1	3	2	3.882964436064601e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000166257	SCN3B	3	2	3.882964436064601e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000168394	TAP1	3	2	3.8908975392195385e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000250878	METTL21EP	3	1	3.9015501528687285e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
